#plate,mjd,fiberid,run2d,specobj_id,ra,dec,sn_median_r,z,zerr,zwarning,class,subclass
'1990','53472','69','26','2240559839442921472',165.30904,29.873691,26.57,0.000184,1.8e-05,'0','STAR','F5'
'1990','53472','78','26','2240562313344083968',165.30923,29.848182,6.54,0.002224,0.000152,'0','STAR','A0p'
'1990','53472','117','26','2240573033582454784',165.03414,29.921154,0.91,0.000128,2.8e-05,'0','STAR','L0'
'1990','53472','198','26','2240595298692917248',164.82404,29.775218,45.12,0.000218,1.3e-05,'0','STAR','F5'
'1990','53472','263','26','2240613165756868608',164.34744,29.916864,1.53,-2.3e-05,2.7e-05,'0','STAR','M6'
'1990','53472','266','26','2240613990390589440',164.27334,29.691277,9.03,0.001083,2.3e-05,'0','STAR','M0V'
'1990','53472','268','26','2240614540146403328',164.3749,29.836805,38.63,3.6e-05,9e-06,'0','STAR','F9'
'1990','53472','278','26','2240617288925472768',164.45862,29.943936,1.44,-9.3e-05,2.2e-05,'0','STAR','M7'
'2211','53786','181','26','2489414510448764928',165.91829,28.280319,5.93,-1.9e-05,2.7e-05,'0','STAR','M5'
'2211','53786','193','26','2489417808983648256',165.97609,28.508304,36.02,0.000216,1.3e-05,'0','STAR','F5'
'2211','53786','195','26','2489418358739462144',166.03711,28.459173,13.1,-9.7e-05,2e-05,'0','STAR','M3'
'2211','53786','227','26','2489427154832484352',165.69389,28.691239,27.6,-0.000238,1.6e-05,'0','STAR','A0'
'2211','53786','263','26','2489437050437134336',165.45143,28.690054,7.55,0.002425,0.000106,'0','STAR','A0'
'2211','53786','265','26','2489437600192948224',165.2982,28.311433,40.43,0.000486,1.1e-05,'0','STAR','F5'
'2211','53786','288','26','2489443922384807936',164.94776,28.051713,37.0,8.3e-05,9e-06,'0','STAR','A0'
'2211','53786','302','26','2489447770675505152',165.15042,28.621295,24.83,0.000217,1.6e-05,'0','STAR','F2'
'2211','53786','316','26','2489451618966202368',164.57359,28.769263,7.43,0.001613,-4.0,'0','STAR','CarbonWD'
'2211','53786','320','26','2489452718477830144',164.52665,28.785847,4.6,-0.000134,2.1e-05,'0','STAR','M6'
'2211','53786','325','26','2489454092867364864',164.96011,29.594527,1.01,2.5e-05,2e-05,'0','STAR','M6'
'2211','53786','335','26','2489456841646434304',164.96338,29.515112,5.45,0.000338,2.3e-05,'0','STAR','M2'
'2211','53786','343','26','2489459040669689856',165.12009,29.299366,9.0,6.4e-05,3.8e-05,'0','STAR','M2'
'2211','53786','349','26','2489460689937131520',165.12277,28.957892,20.38,-0.000175,1.5e-05,'0','STAR','M0'
